DateTime;<TICKER>;<PER>;Open;High;Low;Close;Volume
2023-04-19 19:00:00;SBER;60;233.89;234.95;233.89;234.8;1833370
2023-04-19 20:00:00;SBER;60;234.79;234.99;234.1;234.34;1317560
2023-04-19 21:00:00;SBER;60;234.35;234.53;233.6;233.63;1538120
2023-04-19 22:00:00;SBER;60;233.64;233.74;232.64;233.26;2760130
2023-04-19 23:00:00;SBER;60;233.26;233.62;232.81;232.95;1750460
2023-04-20 10:00:00;SBER;60;233.32;234.56;231.51;232.4;13208780
2023-04-20 11:00:00;SBER;60;232.39;232.88;229.84;231.2;14065100
2023-04-20 12:00:00;SBER;60;231.22;233.22;230.35;233.02;8356090
2023-04-20 13:00:00;SBER;60;233.02;233.5;232.14;233.3;4702990
2023-04-20 14:00:00;SBER;60;233.31;234.26;232.0;234.12;8868570
2023-04-20 15:00:00;SBER;60;234.12;235.78;233.81;234.77;9813480
2023-04-20 16:00:00;SBER;60;234.79;235.0;234.11;235.0;3372660
2023-04-20 17:00:00;SBER;60;235.0;235.99;234.7;235.83;5635520
2023-04-20 18:00:00;SBER;60;235.88;235.97;235.3;235.79;3198310
2023-04-20 19:00:00;SBER;60;235.78;236.47;235.7;235.98;4794210
2023-04-20 20:00:00;SBER;60;235.98;236.18;235.1;235.83;3449380
2023-04-20 21:00:00;SBER;60;235.86;235.99;235.73;235.84;1135230
2023-04-20 22:00:00;SBER;60;235.85;236.3;235.8;236.12;2105230
2023-04-20 23:00:00;SBER;60;236.16;236.37;235.91;236.28;2341190
2023-04-21 10:00:00;SBER;60;237.4;238.28;233.52;236.15;39819410
2023-04-21 11:00:00;SBER;60;236.15;237.0;236.0;236.86;5732590
2023-04-21 12:00:00;SBER;60;236.86;238.85;233.59;236.81;40425270
2023-04-21 13:00:00;SBER;60;236.8;236.8;235.05;235.86;5487590
2023-04-21 14:00:00;SBER;60;235.93;236.53;235.52;235.9;2869200
2023-04-21 15:00:00;SBER;60;235.9;235.9;234.2;234.82;6947660
2023-04-21 16:00:00;SBER;60;234.87;235.36;234.0;235.05;5055530
2023-04-21 17:00:00;SBER;60;235.05;235.5;234.6;235.29;2949190
2023-04-21 18:00:00;SBER;60;235.29;235.9;235.27;235.89;1591150
2023-04-21 19:00:00;SBER;60;235.65;235.85;235.05;235.21;716460
2023-04-21 20:00:00;SBER;60;235.22;235.41;235.06;235.13;686040
2023-04-21 21:00:00;SBER;60;235.13;235.55;235.1;235.55;613350
2023-04-21 22:00:00;SBER;60;235.54;235.57;235.01;235.35;1485590
2023-04-21 23:00:00;SBER;60;235.35;235.4;235.07;235.17;1227530
2023-04-24 10:00:00;SBER;60;235.09;236.4;234.1;235.61;10285830
2023-04-24 11:00:00;SBER;60;235.63;235.68;234.9;235.33;3110580
2023-04-24 12:00:00;SBER;60;235.33;235.98;235.26;235.53;2344200
2023-04-24 13:00:00;SBER;60;235.53;235.84;235.47;235.51;1408460
2023-04-24 14:00:00;SBER;60;235.55;235.77;235.4;235.73;1707850
2023-04-24 15:00:00;SBER;60;235.73;235.89;235.6;235.61;1041720
2023-04-24 16:00:00;SBER;60;235.62;235.72;234.8;235.54;4574780
2023-04-24 17:00:00;SBER;60;235.54;235.55;234.75;235.26;2823250
2023-04-24 18:00:00;SBER;60;235.24;235.24;234.91;235.14;1039030
2023-04-24 19:00:00;SBER;60;235.03;235.34;235.03;235.23;435150
2023-04-24 20:00:00;SBER;60;235.23;235.23;235.0;235.06;370440
2023-04-24 21:00:00;SBER;60;235.06;235.3;235.01;235.15;472970
2023-04-24 22:00:00;SBER;60;235.15;235.28;235.02;235.08;385520
